filename,label
Image_3553.jpg,ADONIS
Image_5659.jpg,ADONIS
Image_901.jpg,ADONIS
Image_3228.jpg,ADONIS
Image_2.jpg,ADONIS
Image_624.jpg,ADONIS
Image_1772.jpg,ADONIS
Image_2520.jpg,ADONIS
Image_1907.jpg,ADONIS
Image_4126.jpg,ADONIS
Image_2132.jpg,ADONIS
Image_2655.jpg,ADONIS
Image_3200.jpg,ADONIS
Image_4932.jpg,ADONIS
Image_3740.jpg,ADONIS
Image_3036.jpg,ADONIS
Image_4790.jpg,ADONIS
Image_2516.jpg,ADONIS
Image_964.jpg,ADONIS
Image_79.jpg,ADONIS
Image_4531.jpg,ADONIS
Image_3621.jpg,ADONIS
Image_2255.jpg,ADONIS
Image_5394.jpg,ADONIS
Image_1927.jpg,ADONIS
Image_3276.jpg,ADONIS
Image_5961.jpg,ADONIS
Image_3108.jpg,ADONIS
Image_2360.jpg,ADONIS
Image_1937.jpg,ADONIS
Image_4444.jpg,ADONIS
Image_3784.jpg,ADONIS
Image_2814.jpg,ADONIS
Image_330.jpg,ADONIS
Image_3809.jpg,ADONIS
Image_1131.jpg,ADONIS
Image_6012.jpg,ADONIS
Image_6094.jpg,ADONIS
Image_774.jpg,ADONIS
Image_6194.jpg,ADONIS
Image_1858.jpg,ADONIS
Image_1565.jpg,ADONIS
Image_1087.jpg,ADONIS
Image_1849.jpg,ADONIS
Image_796.jpg,ADONIS
Image_848.jpg,ADONIS
Image_2959.jpg,ADONIS
Image_2275.jpg,ADONIS
Image_2401.jpg,ADONIS
Image_2488.jpg,ADONIS
Image_2960.jpg,ADONIS
Image_2722.jpg,ADONIS
Image_917.jpg,ADONIS
Image_3829.jpg,ADONIS
Image_4247.jpg,ADONIS
Image_3660.jpg,ADONIS
Image_4643.jpg,ADONIS
Image_1211.jpg,ADONIS
Image_4209.jpg,ADONIS
Image_555.jpg,ADONIS
Image_1712.jpg,ADONIS
Image_4548.jpg,AFRICAN GIANT SWALLOWTAIL
Image_5272.jpg,AFRICAN GIANT SWALLOWTAIL
Image_2066.jpg,AFRICAN GIANT SWALLOWTAIL
Image_2826.jpg,AFRICAN GIANT SWALLOWTAIL
Image_5655.jpg,AFRICAN GIANT SWALLOWTAIL
Image_2140.jpg,AFRICAN GIANT SWALLOWTAIL
Image_3750.jpg,AFRICAN GIANT SWALLOWTAIL
Image_5736.jpg,AFRICAN GIANT SWALLOWTAIL
Image_3891.jpg,AFRICAN GIANT SWALLOWTAIL
Image_2455.jpg,AFRICAN GIANT SWALLOWTAIL
Image_2221.jpg,AFRICAN GIANT SWALLOWTAIL
Image_4546.jpg,AFRICAN GIANT SWALLOWTAIL
Image_4733.jpg,AFRICAN GIANT SWALLOWTAIL
Image_1643.jpg,AFRICAN GIANT SWALLOWTAIL
Image_5793.jpg,AFRICAN GIANT SWALLOWTAIL
Image_3301.jpg,AFRICAN GIANT SWALLOWTAIL
Image_438.jpg,AFRICAN GIANT SWALLOWTAIL
Image_950.jpg,AFRICAN GIANT SWALLOWTAIL
Image_6110.jpg,AFRICAN GIANT SWALLOWTAIL
Image_3538.jpg,AFRICAN GIANT SWALLOWTAIL
Image_5178.jpg,AFRICAN GIANT SWALLOWTAIL
Image_852.jpg,AFRICAN GIANT SWALLOWTAIL
Image_2081.jpg,AFRICAN GIANT SWALLOWTAIL
